ID;UM_NAMES
1;1-й Ирининский пер.
2;2-й Ирининский пер.
3;3-й Ирининский пер.
4;Иркутская ул.
5;1-й Иртышский пр.
6;2-й Иртышский пр.
7;ул. Исаковского
8;ул. Искры
9;пр. Воскресенские Ворота
10;Истринская ул.
11;1-я Кабельная ул.
12;2-я Кабельная ул.
13;3-я Кабельная ул.
14;4-я Кабельная ул.
15;5-я Кабельная ул.
16;1-й Кабельный пр.
17;2-й Кабельный пр.
18;пл. Амилкара Кабрала
19;Кавказский бульв.
20;Кадашёвская наб.
21;1-й Кадашёвский пер.
22;2-й Кадашёвский пер.
23;3-й Кадашёвский пер.
24;Кадашёвский туп.
25;пр. Кадомцева
26;ул. Кадырова
27;ул. Казакова
28;Казанский пер.
29;1-й Казанский просек
30;2-й Казанский просек
31;Казарменный пер.
32;1-й Казачий пер.
33;2-й Казачий пер.
34;М. Каковинский пер.
35;Каланчёвская ул.
36;Каланчёвский туп.
37;Калашный пер.
38;Калибровская ул.
39;Б. Калитниковская ул.
40;М. Калитниковская ул.
41;Ср. Калитниковская ул.
42;Б. Калитниковский пр.
43;М. Калитниковский пр.
44;Калошин пер.
45;М. Калужская ул.
46;М. Калужский пер.
47;Калмыков пер.
48;Долгоруковская ул.
49;ул. Каманина
50;ул. Б. Каменщики
51;ул. М. Каменщики
52;ул. Камова
53;Камчатская ул.
54;Канатчиковский пр.
55;Кантемировская ул.
56;Капельский пер.
57;ул. Академика Капицы
58;ул. Сергея Капицы
59;1-й Капотнинский пр.
60;2-й Капотнинский пр.
61;ул. Капотня
62;пер. Капранова
63;пр. Карамзина
64;Карамышевская наб.
65;Карамышевский пр.
66;Карачаровская ул.
67;1-я Карачаровская ул.
68;2-я Карачаровская ул.
69;3-я Карачаровская ул.
70;2-й Карачаровский пр.
71;1-й Карачаровский пр.
72;Карачаровское ш.
73;бульв. Генерала Карбышева
74;Каргопольская ул.
75;Карелин пр.
76;Карельский бульв.
77;М. Каретный пер.
78;Ср. Каретный пер.
79;ул. Каретный Ряд
80;Ст. Басманная ул.
81;Карманицкий пер.
82;ул. Карьер
83;Карьерная ул.
84;1-я Карпатская ул.
85;2-я Карпатская ул.
86;ул. Касаткина
87;Касимовская ул.
88;Каскадная ул.
89;Каспийская ул.
90;Кастанаевская ул.
91;ул. Маршала Катукова
92;ул. Каховка
93;Качалинская ул.
94;М. Никитская ул.
95;ул. Наташи Качуевской
96;ул. Кашёнкин Луг
97;Каширский пр.
98;Каширское ш.
99;1-я Квесисская ул.
100;2-я Квесисская ул.
101;ул. Кедрова
102;пл. Академика Келдыша
103;Керамический пр.
104;Керченская ул.
105;Кетчерская ул.
106;ул. Кибальчича
107;Киевская ул.
108;пл. Киевского Вокзала
